train_loss,train_accuracy,test_loss,test_accuracy
0.3298554486558972,84.98629760742188,0.2518036977556728,88.73655700683594
0.2519855774109822,88.9544677734375,0.23173301201938784,89.95992279052734
0.21432692534957729,91.04658508300781,0.2443680975011131,89.7490005493164
0.17981684229903638,92.56956481933594,0.246249070353556,89.58026123046875
0.15327978789065078,93.61825561523438,0.2414459036038126,89.89664459228516
0.12744661310960934,95.01475524902344,0.2399397199385918,90.52942657470703
0.10906168641318358,95.59443664550781,0.24030940250599844,90.36068725585938
0.08747681846110304,96.44287872314453,0.30477503744647805,88.9052963256836
0.07450408490239618,97.13322448730469,0.28242924401924113,90.06538391113281
0.07174777616566114,97.2702407836914,0.28950282007818356,90.40287017822266
